id,name,category,price,primary_image,gallery,caption,bohemian,scandinavian,minimalist,industrial,modern_luxury,traditional,maximalist
90420332,FREKVENS,Bar furniture,265.0,https://www.ikea.com/global/assets/range-categorisation/images/kitchenware-tableware-kt001.jpeg?imwidth=400 loading=,"['https://www.ikea.com/global/assets/range-categorisation/images/kitchenware-tableware-kt001.jpeg?imwidth=400 loading=', 'https://www.ikea.com/global/assets/range-categorisation/images/curtains-blinds-tl002.jpeg?imwidth=400 loading=', 'https://www.ikea.com/global/assets/logos/external-payment-providers/baseeta.svg', 'https://www.ikea.com/global/assets/logos/external-payment-providers/apple-pay.svg', 'https://www.ikea.com/global/assets/range-categorisation/images/kitchen-appliances-ka001.jpeg?imwidth=400 loading=']",a pan and a pan on a table,0.140693798661232,0.2025851607322693,0.21384723484516144,0.2533973753452301,0.15896624326705933,0.16775113344192505,0.1790097951889038
368814,NORDVIKEN,Bar furniture,995.0,https://www.ikea.com/sa/en/images/products/nordviken-bar-table-black__0797141_pe766707_s5.jpg?f=u,"['https://www.ikea.com/sa/en/images/products/nordviken-bar-table-black__0797141_pe766707_s5.jpg?f=u', 'https://www.ikea.com/sa/en/images/products/nordviken-bar-table-black__0797163_pe766762_s5.jpg?f=s', 'https://www.ikea.com/global/assets/logos/external-payment-providers/apple-pay.svg', 'https://www.ikea.com/global/assets/logos/external-payment-providers/baseeta.svg', 'https://www.ikea.com/sa/en/images/products/nordviken-bar-table-black__0714197_pe729961_s5.jpg?f=u']",a kitchen with a table and chairs in it,0.2313886284828186,0.22043292224407196,0.26269009709358215,0.2840777337551117,0.22083806991577148,0.2560909390449524,0.23680195212364197
9333523,NORDVIKEN / NORDVIKEN,Bar furniture,2095.0,https://www.ikea.com/sa/en/images/products/nordviken-nordviken-bar-table-and-4-bar-stools-black-black__0802749_pe768579_s5.jpg?f=s,"['https://www.ikea.com/sa/en/images/products/nordviken-nordviken-bar-table-and-4-bar-stools-black-black__0802749_pe768579_s5.jpg?f=s', 'https://www.ikea.com/global/assets/logos/external-payment-providers/baseeta.svg', 'https://www.ikea.com/global/assets/logos/external-payment-providers/apple-pay.svg', 'https://www.ikea.com/global/assets/logos/external-payment-providers/visa.svg', 'https://www.ikea.com/sa/en/images/products/nordviken-nordviken-bar-table-and-4-bar-stools-black-black__0797161_pe766760_s5.jpg?f=u']",a kitchen table with four stools and a small table,0.22314971685409546,0.211272731423378,0.2571660280227661,0.2743277847766876,0.21881526708602905,0.24414779245853424,0.23559050261974335
80155205,STIG,Bar furniture,69.0,https://www.ikea.com/global/assets/range-categorisation/images/kitchenware-tableware-kt001.jpeg?imwidth=400 loading=,"['https://www.ikea.com/global/assets/range-categorisation/images/kitchenware-tableware-kt001.jpeg?imwidth=400 loading=', 'https://www.ikea.com/global/assets/range-categorisation/images/curtains-blinds-tl002.jpeg?imwidth=400 loading=', 'https://www.ikea.com/global/assets/logos/external-payment-providers/baseeta.svg', 'https://www.ikea.com/global/assets/logos/external-payment-providers/apple-pay.svg', 'https://www.ikea.com/global/assets/range-categorisation/images/kitchen-appliances-ka001.jpeg?imwidth=400 loading=']",a pan and a pan on a table,0.140693798661232,0.2025851607322693,0.21384723484516144,0.2533973753452301,0.15896624326705933,0.16775113344192505,0.1790097951889038
30180504,NORBERG,Bar furniture,225.0,https://www.ikea.com/sa/en/images/products/norberg-wall-mounted-drop-leaf-table-white__0209003_pe320068_s5.jpg?f=s,"['https://www.ikea.com/sa/en/images/products/norberg-wall-mounted-drop-leaf-table-white__0209003_pe320068_s5.jpg?f=s', 'https://www.ikea.com/global/assets/logos/external-payment-providers/baseeta.svg', 'https://www.ikea.com/global/assets/logos/external-payment-providers/apple-pay.svg', 'https://www.ikea.com/global/assets/logos/external-payment-providers/visa.svg', 'https://www.ikea.com/sa/en/images/products/lisabo-chair-ash-tallmyra-white-black__1243660_pe920705_s5.jpg']",a window with a cup of coffee and a book on it,0.22907084226608276,0.24922393262386322,0.24071529507637024,0.23832732439041138,0.20778760313987732,0.2110815793275833,0.23232653737068176
60155602,DALFRED,Bar furniture,195.0,https://www.ikea.com/sa/en/images/products/dalfred-bar-stool-black__0444237_pe594812_s5.jpg?f=s,"['https://www.ikea.com/sa/en/images/products/dalfred-bar-stool-black__0444237_pe594812_s5.jpg?f=s', 'https://www.ikea.com/sa/en/images/products/dalfred-bar-stool-black__0874431_pe590863_s5.jpg?f=s', 'https://www.ikea.com/global/assets/logos/external-payment-providers/baseeta.svg', 'https://www.ikea.com/global/assets/logos/external-payment-providers/apple-pay.svg', 'https://www.ikea.com/sa/en/images/products/dalfred-bar-stool-black__0444237_pe594812_s5.jpg?f=u']",a black ceiling light with a white background,0.13204799592494965,0.21750696003437042,0.18723274767398834,0.24905145168304443,0.16473522782325745,0.16156935691833496,0.15545666217803955
50406465,FRANKLIN,Bar furniture,129.0,https://www.ikea.com/sa/en/images/products/franklin-bar-stool-with-backrest-foldable-counter-height-black-black__0874584_pe680503_s5.jpg?f=s,"['https://www.ikea.com/sa/en/images/products/franklin-bar-stool-with-backrest-foldable-counter-height-black-black__0874584_pe680503_s5.jpg?f=s', 'https://www.ikea.com/sa/en/images/products/franklin-bar-stool-with-backrest-foldable-counter-height-black-black__0995743_pe821835_s5.jpg?f=s', 'https://www.ikea.com/global/assets/logos/external-payment-providers/baseeta.svg', 'https://www.ikea.com/global/assets/logos/external-payment-providers/apple-pay.svg', 'https://www.ikea.com/global/assets/logos/external-payment-providers/visa.svg']",a black chair with a black seat,0.197391077876091,0.2381761223077774,0.25409334897994995,0.27362939715385437,0.1858503371477127,0.21614544093608856,0.20874764025211334
90404879,FRANKLIN,Bar furniture,149.0,https://www.ikea.com/sa/en/images/products/groensta-bar-stool-counter-height-white-in-outdoor__1335567_pe947092_s5.jpg?f=xxs,"['https://www.ikea.com/sa/en/images/products/groensta-bar-stool-counter-height-white-in-outdoor__1335567_pe947092_s5.jpg?f=xxs', 'https://www.ikea.com/global/assets/logos/external-payment-providers/baseeta.svg', 'https://www.ikea.com/global/assets/logos/external-payment-providers/apple-pay.svg', 'https://www.ikea.com/global/assets/logos/external-payment-providers/visa.svg', 'https://www.ikea.com/sa/en/images/products/franklin-bar-stool-with-backrest-foldable-counter-height-black-black__0874580_pe680502_s5.jpg?f=xxs']",a white stool with wooden legs and a white seat,0.21839605271816254,0.26110324263572693,0.26176851987838745,0.23851406574249268,0.21105898916721344,0.23035337030887604,0.23904430866241455
397736,NORRARYD,Bar furniture,395.0,https://www.ikea.com/sa/en/images/products/yngvar-chair-anthracite__0714279_pe730013_s5.jpg?f=xxs,"['https://www.ikea.com/sa/en/images/products/yngvar-chair-anthracite__0714279_pe730013_s5.jpg?f=xxs', 'https://www.ikea.com/sa/en/images/products/yngvar-chair-anthracite__0946421_ph173663_s5.jpg?f=xxs', 'https://www.ikea.com/global/assets/logos/external-payment-providers/baseeta.svg', 'https://www.ikea.com/global/assets/logos/external-payment-providers/apple-pay.svg', 'https://www.ikea.com/global/assets/logos/external-payment-providers/visa.svg']",the black chair with a black seat,0.21473152935504913,0.23238152265548706,0.2606663405895233,0.28429996967315674,0.1857447326183319,0.21990637481212616,0.2185247391462326
50420329,FREKVENS,Bar furniture,177.0,https://www.ikea.com/global/assets/range-categorisation/images/kitchenware-tableware-kt001.jpeg?imwidth=400 loading=,"['https://www.ikea.com/global/assets/range-categorisation/images/kitchenware-tableware-kt001.jpeg?imwidth=400 loading=', 'https://www.ikea.com/global/assets/range-categorisation/images/curtains-blinds-tl002.jpeg?imwidth=400 loading=', 'https://www.ikea.com/global/assets/logos/external-payment-providers/baseeta.svg', 'https://www.ikea.com/global/assets/logos/external-payment-providers/apple-pay.svg', 'https://www.ikea.com/global/assets/range-categorisation/images/kitchen-appliances-ka001.jpeg?imwidth=400 loading=']",a pan and a pan on a table,0.140693798661232,0.2025851607322693,0.21384723484516144,0.2533973753452301,0.15896624326705933,0.16775113344192505,0.1790097951889038
